,image,person,posture,body,female,male,dominant,center
0,0_100950.jpg,yes,"male, drinking","male, upper body without legs",no females present,male portrayed actively drinking,neither,male
1,0_101170.jpg,yes,male standing & female standing & female standing & female standing & male standing & male standing,male upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & male upper body with legs & male upper body with legs,"playful, costumed as condiments","playful, costumed as condiments",neither,both
2,0_103020.jpg,yes,"female, reclining &","female, upper body with legs &","relaxed, elegant",no males,neither,female
3,0_10470.jpg,yes,female standing & female standing & child standing,female upper body with legs & female upper body with legs & child upper body with legs,"happy, energetic",not applicable,neither,female
4,0_10510.jpg,yes,"female, standing","female, upper body with legs","playfully, with fishing-related props",not applicable,neither,female
5,0_105440.jpg,yes,"female, standing","female, upper body with legs","positively, confidently",not applicable,neither,female
6,0_105730.jpg,yes,"female, standing","female, upper body with legs",playful and joyful,no males present,neither,female
7,0_105880.jpg,yes,male seated & female seated & male seated,male upper body with legs & female upper body with legs & male upper body with legs,"playfully, casual","playfully, casual",neither,both
8,0_106780.jpg,yes,"female, standing","female, upper body with legs","confident, casual",no males present,neither,female
9,0_107960.jpg,yes,"female, seated","female, upper body without legs",approachable and confident,no male(s) portrayed,neither,female
10,0_112980.jpg,yes,"female, hands covering face","female, upper body without legs","creatively, distinctively, artistically portrayed",no males visible,neither,female
11,0_115640.jpg,yes,"female, sitting & looking up","female, upper body with legs",glamorous and enjoying a beverage,no males in the image,neither,female
12,0_116200.jpg,yes,female sitting &,female upper body with legs &,"serene, compassionate",no males present,neither,female
13,0_116210.jpg,yes,"female, standing & turning","female, upper body without legs",confident and provocative,no males present,neither,female
14,0_116300.jpg,,,,,,,
15,0_116310.jpg,yes,"male, standing","male, upper body without legs",not applicable,"positively, engaging with audience",neither,male
16,0_116330.jpg,yes,"female, standing","female, upper body with legs","confident, thought-provoking",no males shown,neither,female
17,0_116360.jpg,yes,"female, standing or sitting","female, upper body with legs","surprised, possibly uncomfortable",not applicable,neither,female
18,0_116370.jpg,yes,"female, standing &","female, upper body with legs &",confident and assertive,no males depicted,neither,female
19,0_116410.jpg,,,,,,,
20,0_116430.jpg,yes,"female, standing","female, upper body with legs","confident, fashionable",not applicable,neither,female
21,0_116440.jpg,yes,female standing,female upper body with legs,confidently promoting vegetarianism,not applicable,neither,female
22,0_116470.jpg,yes,"female, head tilted &","female, upper body without legs &",poised and elegant.,no males shown.,neither,female
23,0_116510.jpg,yes,"male, leaning against wall &","male, upper body with legs &",not applicable,"confident, relaxed",neither,male
24,0_116550.jpg,yes,"female, standing","female, upper body without legs","provocatively, endorsing a cause",no males present,neither,female
25,0_11760.jpg,yes,"female, bending","female, upper body with legs","playful, athletic",there are no males to portray,neither,female
26,0_118230.jpg,yes,"female, standing","female, upper body with legs","elegantly, possibly contemplative",,neither,female
27,0_120590.jpg,yes,"female, running &","female, upper body with legs &","athletically, competitively",no males shown,neither,female
28,0_121250.jpg,yes,male & crouched starting position,male & upper body with legs,no females depicted,male portrayed as focused and athletic,neither,male
29,0_12360.jpg,yes,female standing &,female upper body with legs &,"neutral, affectionate towards object",no males portrayed,neither,female
30,0_124180.jpg,yes,"male, lifting &","male, upper body without legs &",no female present,strong and tough,neither,male
31,0_124260.jpg,yes,female standing,female upper body with legs,confidently artistic,no males depicted,neither,female
32,0_124270.jpg,yes,"female, sitting","female, upper body with legs","fit, attractive, active",no males present,neither,female
33,0_125840.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,"confident, glamorous, fashionable.",no males depicted.,neither,female
34,0_129350.jpg,yes,female standing &,female upper body without legs &,"posing, using a phone.",no males portrayed.,neither,female
35,0_130180.jpg,yes,female standing & female standing & female standing & female standing & female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs,"positively, confidently",there are no males present,neither,female
36,0_130190.jpg,yes,"female, lying down &","female, upper body with legs &","confident, relaxed",there are no males.,neither,female
37,0_130210.jpg,yes,female-standing & male-standing & female-standing,female-upper body with legs & male-upper body without legs & female-upper body with legs,"sensual, confident, healthy","affectionate, obscured",neither,female
38,0_130270.jpg,yes.,female standing & female standing & female standing & female standing & female standing & female standing.,female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs.,confident and joyful.,no males present.,neither.,female.
39,0_131680.jpg,yes,female sitting & male standing,female upper body with legs & male upper body with legs,"confident, stylish","rugged, relaxed",neither,female
40,0_133680.jpg,yes,female seated & female leaning,female upper body without legs & female upper body with legs,"calm, thoughtful, elegant",not applicable,neither,female
41,0_134630.jpg,yes,"female, standing","female, upper body with legs","confident, possibly suggestive",no males shown,neither,female
