actorid,dob
nm0000904,"january 14, 1906"
nm0907785,"july 17, 1920"
nm0641454,"march 29, 1908"
nm0517058,"january 3, 1898"
nm0166477,"september 17, 1885"
nm0483178,"january 21, 1923"
nm0281329,"may 14, 1906"
nm0402277,"february 17, 1910"
nm0242305,"august 1, 1920"
nm0262833,"april 16, 1882"
nm0286704,"october 10, 1902"
nm0007995,"june 5, 1905"
nm0041410,"october 23, 1887"
nm0041669,"march 3, 1880"
nm0111523,"october 21, 1902"
nm0174188,"december 13, 1895"
nm0137947,"april 16, 1924"
nm0195888,"april 16, 1904"
nm0317050,"october 6, 1922"
nm0100565,"december 5, 1917"
nm0212869,"april 7, 1922"
nm0242001,"december 7, 1923"
nm0222797,"february 7, 1894"
nm0952951,"march 27, 1925"
nm0206158,"january 21, 1910"
nm0569466,"october 26, 1866"
nm0311556,"october 14, 1904"
nm0590224,"march 18, 1926"
nm0160039,"october 30, 1883"
nm0188195,"june 17, 1899"
nm0884250,1886
nm0001695,"july 3, 1906"
nm0115597,"september 29, 1910"
nm0041304,"april 18, 1918"
nm0516876,"july 18, 1891"
nm0035877,"november 20, 1890"
nm0912478,"october 26, 1876"
nm0621002,"january 7, 1903"
nm0153266,"july 26, 1882"
nm0197950,"november 23, 1899"
nm1332365,"june 12, 1913"
nm0368524,"june 3, 1901"
nm0007808,"november 15, 1906"
nm0017202,"october 19, 1906"
nm0030516,"april 15, 1922"
nm0036440,"november 18, 1908"
nm0673682,1915
nm0108937,"february 10, 1885"
nm0110886,"october 11, 1885"
nm0510134,"may 26, 1895"
nm0160130,"january 19, 1892"
nm0138885,"september 5, 1897"
nm0260722,"june 14, 1902"
nm0886870,"july 16, 1911"
nm0828523,"july 20, 1919"
nm0663183,"december 29, 1892"
nm0949876,"june 21, 1879"
nm0269709,"december 8, 1905"
nm0357111,"march 16, 1876"
nm0436209,"february 22, 1883"
nm0717046,"december 2, 1875"
nm0180231,"november 6, 1930"
nm0647714,"may 16, 1938"
nm0336633,"december 18, 1936"
nm0017674,"december 23, 1904"
nm0033859,"july 24, 1899"
nm0545298,"august 31, 1897"
nm0807252,"june 8, 1921"
nm0187981,"july 27, 1882"
nm0002118,"february 10, 1892"
nm0807580,"july 21, 1863"
nm0001017,"february 5, 1906"
nm0378026,"november 10, 1914"
nm0056719,"july 10, 1889"
nm0358899,"june 30, 1879"
nm0721803,"october 7, 1924"
nm0437463,"january 30, 1881"
nm0452939,"july 16, 1888"
nm0117194,"november 23, 1888"
nm0010958,"june 18, 1885"
nm0040341,"april 30, 1887"
nm0043849,"august 12, 1881"
nm0046633,"may 10, 1923"
nm0047889,"june 20, 1883"
nm0852710,"may 11, 1906"
nm0512267,"september 19, 1910"
nm0415591,"november 7, 1903"
nm0039989,"january 17, 1897"
nm0012441,"may 29, 1912"
nm0732552,"august 17, 1898"
nm0925113,"august 28, 1888"
nm0736960,"august 28, 1888"
nm0388232,"october 6, 1893"
nm0833363,"august 16, 1899"
nm0045839,"may 13, 1891"
nm0104585,"october 15, 1897"
nm0118769,"november 16, 1891"
nm0122834,"january 26, 1881"
nm0001983,"august 8, 1922"
nm0599688,"june 6, 1912"
nm0355755,"february 23, 1915"
nm0001947,"march 30, 1922"
nm0222596,"october 7, 1905"
nm0441193,"january 28, 1896"
nm0700084,"march 9, 1892"
nm0093769,"january 13, 1895"
nm0647752,"june 27, 1889"
nm0024738,"march 30, 1919"
nm0552077,"november 19, 1893"
nm0065717,"october 4, 1929"
nm0241009,"june 24, 1932"
nm0186577,"december 11, 1909"
nm0174813,"october 14, 1884"
nm0179591,"april 26, 1891"
nm0013306,"october 4, 1900"
nm0018685,"november 19, 1902"
nm0028700,"september 1, 1908"
nm0640930,"march 4, 1922"
nm0000890,"august 10, 1913"
nm0115452,"january 6, 1916"
nm0659427,"january 23, 1889"
nm0460906,"may 9, 1901"
nm0742438,"september 6, 1904"
nm0035455,"july 4, 1888"
nm0934699,"april 8, 1895"
nm0822792,"december 21, 1884"
nm0086830,"august 21, 1894"
nm0840316,"april 5, 1906"
nm0203527,"june 16, 1888"
nm0357963,"january 16, 1887"
nm0151370,"june 30, 1898"
nm0398250,"february 10, 1886"
nm0825549,"january 12, 1894"
nm0390676,"september 20, 1895"
nm0225414,"november 27, 1906"
nm0002046,"february 9, 1901"
nm0723954,"december 13, 1917"
nm0008496,"june 6, 1898"
nm0702798,"december 8, 1899"
nm0573640,"july 29, 1911"
nm0572839,"august 26, 1918"
nm0523081,"june 30, 1922"
nm0017578,"september 11, 1882"
nm0026388,"december 11, 1929"
nm0007215,"november 7, 1879"
nm0060876,"january 15, 1935"
nm0066024,"july 19, 1903"
nm0067583,"may 14, 1888"
nm0067589,"october 11, 1902"
nm0077466,"august 25, 1881"
nm2268974,"december 15, 1922"
nm0483787,"december 10, 1914"
nm0534045,"august 30, 1908"
nm0002149,"february 26, 1921"
nm0528658,"july 5, 1926"
nm0151438,"october 15, 1926"
nm0906940,"september 9, 1887"
nm0289376,"february 4, 1905"
nm0007214,"february 2, 1909"
nm0711566,"may 13, 1890"
nm0570974,"april 15, 1884"
nm0057574,"november 24, 1905"
nm0449676,"august 5, 1891"
nm0490951,"october 11, 1904"
nm0448366,"july 15, 1885"
nm0036324,"december 27, 1895"
nm0038663,"august 28, 1884"
nm0000042,"september 3, 1913"
nm0949835,"january 6, 1913"
nm0001333,"june 30, 1917"
nm0837959,"august 29, 1912"
nm0094135,"may 3, 1889"
nm0445523,"august 27, 1890"
nm0593372,"june 17, 1874"
nm0532997,"november 13, 1913"
nm0053354,"december 18, 1894"
nm0083126,"january 30, 1931"
nm0103249,"april 15, 1869"
nm0119886,"march 22, 1899"
nm0137396,"october 28, 1885"
nm0141466,"june 16, 1936"
nm0142273,"april 7, 1916"
nm0164463,"february 7, 1893"
nm0164883,"august 16, 1910"
nm0832011,"november 15, 1879"
nm0001682,"september 23, 1920"
nm0390189,"september 26, 1893"
nm0352774,"november 17, 1898"
nm0003339,"may 23, 1890"
nm0335748,"february 2, 1923"
nm0692156,"december 8, 1922"
nm0525601,"june 18, 1904"
nm0928469,"october 10, 1922"
nm0928476,"october 10, 1922"
nm0511628,"october 24, 1903"
nm0010333,"june 3, 1908"
nm0047534,"september 26, 1886"
nm0163785,"june 10, 1889"
nm1477120,"october 4, 1911"
nm0201227,"march 18, 1876"
nm0228722,"december 6, 1923"
nm0562770,"july 21, 1895"
nm0316995,"august 6, 1892"
nm0824496,"january 23, 1907"
nm0445246,"february 27, 1899"
nm0217332,"march 5, 1924"
nm0352475,"september 5, 1893"
nm0454559,"february 21, 1895"
nm0829327,"november 14, 1935"
nm0651627,"july 20, 1884"
nm0272360,"april 19, 1888"
nm0108756,"october 24, 1888"
nm0924643,"march 25, 1908"
nm0156173,"july 29, 1888"
nm0083359,"february 20, 1887"
nm0253140,"september 10, 1898"
nm0254834,"february 26, 1897"
nm0461618,"december 14, 1917"
nm0708081,"july 15, 1889"
nm0885150,"september 24, 1919"
nm0448722,"june 6, 1916"
nm0022367,"january 11, 1904"
nm0017013,"december 16, 1903"
nm0114004,"january 20, 1932"
nm0501886,"december 14, 1930"
nm0242554,"march 31, 1896"
nm0762596,"may 21, 1899"
nm0160685,"may 26, 1906"
nm0912991,"february 12, 1915"
nm0086560,"january 12, 1910"
nm0000026,"january 18, 1904"
nm0485509,"june 12, 1915"
nm0557339,"august 30, 1896"
nm0007217,"october 27, 1910"
nm0002143,"march 18, 1886"
nm0000048,"june 26, 1904"
nm0322299,"may 23, 1882"
nm0401449,"january 3, 1877"
nm0010443,"june 13, 1873"
nm0018514,"november 29, 1897"
nm0573679,"august 14, 1884"
nm0654136,"february 18, 1902"
nm0725891,"september 6, 1909"
nm0321863,"november 17, 1872"
nm0167364,"february 18, 1891"
nm0485272,"january 26, 1905"
nm0574737,"january 14, 1865"
nm0601073,"january 18, 1920"
nm0114692,"august 18, 1914"
nm0335788,"december 20, 1869"
nm0173160,"september 17, 1904"
nm0925842,"march 28, 1890"
nm0144403,"december 7, 1913"
nm0544711,"april 28, 1923"
nm0914246,"december 29, 1887"
nm0878826,"june 13, 1888"
nm0003224,"august 28, 1891"
nm0930239,"september 27, 1898"
nm0609342,"june 12, 1912"
nm0118352,"october 6, 1903"
nm0044864,"february 19, 1902"
nm0199268,"november 9, 1922"
nm0048252,"december 25, 1893"
nm0001955,"august 16, 1928"
nm0752787,"august 28, 1924"
nm0259816,"july 3, 1881"
nm0350374,"december 10, 1918"
nm0335510,"november 24, 1911"
nm0695863,"june 26, 1920"
nm0472557,"september 13, 1871"
nm0587804,"october 22, 1916"
nm0404649,"march 10, 1919"
nm0805134,"august 7, 1910"
nm0030783,"june 2, 1927"
nm0115470,"october 16, 1902"
nm0136988,"february 25, 1887"
nm0000891,"april 1, 1885"
nm0001931,"march 25, 1903"
nm0446101,"april 13, 1910"
nm0706261,"june 16, 1922"
nm0932629,"july 18, 1902"
nm0001935,"january 17, 1882"
nm0642180,"august 10, 1891"
nm0172615,"december 10, 1889"
nm0030194,"august 28, 1897"
nm0576083,"july 14, 1878"
nm0723935,"october 20, 1902"
nm0370743,"november 8, 1882"
nm0403636,"october 15, 1888"
nm0453081,"march 6, 1891"
nm0064792,"march 8, 1902"
nm0804026,"july 18, 1913"
nm0930565,"august 8, 1921"
nm0001651,"june 13, 1892"
nm0329433,"july 28, 1910"
nm0709210,"august 4, 1916"
nm0808179,"november 22, 1902"
nm0739123,"january 16, 1919"
nm0286645,"april 12, 1917"
nm0198526,"august 3, 1918"
nm0682560,"july 15, 1875"
nm0168459,"march 5, 1890"
nm0241669,"october 20, 1882"
nm0914044,"september 13, 1916"
nm0204843,"june 29, 1912"
nm0292471,"july 18, 1915"
nm0399192,"april 14, 1914"
nm0164133,"june 9, 1924"
nm0371374,"march 29, 1923"
nm0247702,"february 20, 1934"
nm0288304,"august 27, 1899"
nm0852362,"march 25, 1888"
nm0936729,"january 20, 1896"
nm0253141,"august 30, 1904"
nm0354916,"july 24, 1888"
nm0227117,"february 18, 1891"
nm0108424,"january 30, 1928"
nm0108413,"july 10, 1923"
nm2514810,"september 13, 1926"
nm0000068,"january 23, 1898"
nm0497346,"january 8, 1911"
nm0794918,"february 29, 1916"
nm0122589,"august 2, 1890"
nm0935415,"may 26, 1884"
nm0550777,"october 12, 1917"
nm0930711,"april 26, 1899"
nm0060904,"april 15, 1888"
nm0571085,"june 22, 1915"
nm0276132,"march 19, 1875"
nm1944278,"october 23, 1922"
nm0059177,"october 12, 1898"
nm0068235,"january 21, 1892"
nm0515292,"december 9, 1904"
nm0122470,"march 18, 1911"
nm0481960,"july 30, 1888"
nm0418490,"march 16, 1885"
nm0163417,"august 24, 1889"
nm0588059,"june 21, 1878"
nm0833734,"may 18, 1930"
nm0556813,"july 2, 1903"
nm0242010,"february 17, 1902"
nm0233528,"may 20, 1898"
nm0456480,"february 19, 1895"
nm0311274,"february 15, 1898"
nm0118771,"august 22, 1893"
nm0124560,"june 14, 1891"
nm0139356,"january 31, 1875"
nm0146886,"may 5, 1885"
nm0236445,"january 1, 1915"
nm0352368,"june 15, 1899"
nm0288003,"august 24, 1900"
nm0751946,"november 2, 1917"
nm0125325,"july 26, 1896"
nm0721748,"july 8, 1914"
nm0397361,"october 13, 1910"
nm0485518,"may 28, 1899"
nm0237708,"august 4, 1900"
nm0902226,"november 5, 1893"
nm0730165,"december 31, 1892"
nm0725122,"december 23, 1906"
nm0106295,"august 15, 1907"
nm0141651,"february 27, 1906"
nm0154947,"april 1, 1894"
nm0178010,"june 28, 1883"
nm0002092,"march 4, 1913"
nm0002134,"january 10, 1908"
nm0002113,"december 27, 1879"
nm0662223,"june 26, 1922"
nm0350324,"september 26, 1877"
nm0864869,"july 14, 1901"
nm0183459,"october 1, 1903"
nm0256207,"july 8, 1917"
