actorid,dob,name,first_name,gender
nm0000904,"january 14, 1906",William Bendix,William,male
nm0907785,"july 17, 1920",Helen Walker,Helen,female
nm0641454,"march 29, 1908",Dennis O'Keefe,Dennis,male
nm0517058,"january 3, 1898",John Loder,John,male
nm0166477,"september 17, 1885",George Cleveland,George,male
nm0483178,"january 21, 1923",Janet Lambert,Janet,female
nm0281329,"may 14, 1906",James Flavin,James,male
nm0402277,"february 17, 1910",Arthur Hunnicutt,Arthur,male
nm0242305,"august 1, 1920",Steve Dunhill,Steve,male
nm0262833,"april 16, 1882",Herbert Evans,Herbert,male
nm0286704,"october 10, 1902",William Forrest,William,male
nm0007995,"june 5, 1905",John Abbott,John,male
nm0041410,"october 23, 1887",Jimmy Aubrey,Jimmy,male
nm0041669,"march 3, 1880",Florence Auer,Florence,female
nm0111523,"october 21, 1902",Lillian Bronson,Lillian,female
nm0174188,"december 13, 1895",James Conaty,James,male
nm0137947,"april 16, 1924",June Carlson,June,female
nm0195888,"april 16, 1904",Fifi D'Orsay,Fifi,female
nm0317050,"october 6, 1922",Teala Loring,Teala,female
nm0100565,"december 5, 1917",Mary Bovard,Mary,female
nm0212869,"april 7, 1922",Margia Dean,Margia,female
nm0242001,"december 7, 1923",Johnny Duncan,Johnny,male
nm0222797,"february 7, 1894",Joe Devlin,Joe,male
nm0952951,"march 27, 1925",Jimmy Zahner,Jimmy,male
nm0206158,"january 21, 1910",John Dawson,John,male
nm0569466,"october 26, 1866",Frank McGlynn Sr.,Frank,male
nm0311556,"october 14, 1904",Parker Gee,Parker,male
nm0590224,"march 18, 1926",Warren Mills,Warren,male
nm0160039,"october 30, 1883",John Christian,John,male
nm0188195,"june 17, 1899",Floyd Criswell,Floyd,male
nm0884250,1886,John Valentine,John,male
nm0001695,"july 3, 1906",George Sanders,George,male
nm0115597,"september 29, 1910",Virginia Bruce,Virginia,female
nm0041304,"april 18, 1918",Lenore Aubert,Lenore,female
nm0516876,"july 18, 1891",Gene Lockhart,Gene,male
nm0035877,"november 20, 1890",Robert Armstrong,Robert,male
nm0912478,"october 26, 1876",H.B. Warner,H.B.,
nm0621002,"january 7, 1903",Alan Napier,Alan,male
nm0153266,"july 26, 1882",André Charlot,André,male
nm0197950,"november 23, 1899",Marcel Dalio,Marcel,male
nm1332365,"june 12, 1913",Robert Andersen,Robert,male
nm0368524,"june 3, 1901",Jamiel Hasson,Jamiel,male
nm0007808,"november 15, 1906",Abdullah Abbas,Abdullah,male
nm0017202,"october 19, 1906",Rafael Alcayde,Rafael,male
nm0030516,"april 15, 1922",Michael Ansara,Michael,male
nm0036440,"november 18, 1908",Frank Arnold,Frank,male
nm0673682,1915,Eric Berge,Eric,male
nm0108937,"february 10, 1885",Maurice Brierre,Maurice,male
nm0110886,"october 11, 1885",Buster Brodie,Buster,male
nm0510134,"may 26, 1895",Paul Lukas,Paul,male
nm0160130,"january 19, 1892",Mady Christians,Mady,female
nm0138885,"september 5, 1897",Morris Carnovsky,Morris,male
nm0260722,"june 14, 1902",Carl Esmond,Carl,male
nm0886870,"july 16, 1911",Peter van Eyck,Peter,male
nm0828523,"july 20, 1919",K.T. Stevens,K.T.,
nm0663183,"december 29, 1892",Emory Parnell,Emory,male
nm0949876,"june 21, 1879",Mary Young,Mary,female
nm0269709,"december 8, 1905",Frank Faylen,Frank,male
nm0357111,"march 16, 1876",Charles Halton,Charles,male
nm0436209,"february 22, 1883",Erwin Kalser,Erwin,male
nm0717046,"december 2, 1875",Frank Reicher,Frank,male
nm0180231,"november 6, 1930",Dale Cornell,Dale,male
nm0647714,"may 16, 1938",Larry Olsen,Larry,male
nm0336633,"december 18, 1936",Gary Gray,Gary,male
nm0017674,"december 23, 1904",Fred Aldrich,Fred,male
nm0033859,"july 24, 1899",Louis V. Arco,Louis,male
nm0545298,"august 31, 1897",Fredric March,Fredric,male
nm0807252,"june 8, 1921",Alexis Smith,Alexis,male
nm0187981,"july 27, 1882",Donald Crisp,Donald,male
nm0002118,"february 10, 1892",Alan Hale,Alan,male
nm0807580,"july 21, 1863",C. Aubrey Smith,C.,female
nm0001017,"february 5, 1906",John Carradine,John,male
nm0378026,"november 10, 1914",William Henry,William,male
nm0056719,"july 10, 1889",Robert Barrat,Robert,male
nm0358899,"june 30, 1879",Walter Hampden,Walter,male
nm0721803,"october 7, 1924",Joyce Reynolds,Joyce,female
nm0437463,"january 30, 1881",Whitford Kane,Whitford,male
nm0452939,"july 16, 1888",Percy Kilbride,Percy,male
nm0117194,"november 23, 1888",Nana Bryant,Nana,female
nm0010958,"june 18, 1885",Ernie Adams,Ernie,male
nm0040341,"april 30, 1887",Hooper Atchley,Hooper,male
nm0043849,"august 12, 1881",Arthur Aylesworth,Arthur,male
nm0046633,"may 10, 1923",Lynn Baggett,Lynn,female
nm0047889,"june 20, 1883",Leah Baird,Leah,female
nm0852710,"may 11, 1906",Kent Taylor,Kent,male
nm0512267,"september 19, 1910",Margaret Lindsay,Margaret,female
nm0415591,"november 7, 1903",Dean Jagger,Dean,male
nm0039989,"january 17, 1897",Nils Asther,Nils,male
nm0012441,"may 29, 1912",Iris Adrian,Iris,female
nm0732552,"august 17, 1898",Dewey Robinson,Dewey,male
nm0925113,"august 28, 1888",Lee 'Lasses' White,Lee,male
nm0736960,"august 28, 1888",John Rogers,John,male
nm0388232,"october 6, 1893",Earle Hodgins,Earle,male
nm0833363,"august 16, 1899",Glenn Strange,Glenn,male
nm0045839,"may 13, 1891",Walter Bacon,Walter,male
nm0104585,"october 15, 1897",Chet Brandenburg,Chet,male
nm0118769,"november 16, 1891",Buck Bucko,Buck,male
nm0122834,"january 26, 1881",Paul E. Burns,Paul,male
nm0001983,"august 8, 1922",Rory Calhoun,Rory,male
nm0599688,"june 6, 1912",Maria Montez,Maria,female
nm0355755,"february 23, 1915",Jon Hall,Jon,male
nm0001947,"march 30, 1922",Turhan Bey,Turhan,male
nm0222596,"october 7, 1905",Andy Devine,Andy,male
nm0441193,"january 28, 1896",Kurt Katch,Kurt,male
nm0700084,"march 9, 1892",Frank Puglia,Frank,male
nm0093769,"january 13, 1895",Fortunio Bonanova,Fortunio,male
nm0647752,"june 27, 1889",Moroni Olsen,Moroni,male
nm0024738,"march 30, 1919",Ramsay Ames,Ramsay,male
nm0552077,"november 19, 1893",Chris-Pin Martin,Chris-Pin,
nm0065717,"october 4, 1929",Scotty Beckett,Scotty,male
nm0241009,"june 24, 1932",Yvette Duguay,Yvette,female
nm0186577,"december 11, 1909",Noel Cravat,Noel,male
nm0174813,"october 14, 1884",Jimmy Conlin,Jimmy,male
nm0179591,"april 26, 1891",Harry Cording,Harry,male
nm0013306,"october 4, 1900",Ed Agresti,Ed,male
nm0018685,"november 19, 1902",Richard Alexander,Richard,male
nm0028700,"september 1, 1908",Jerome Andrews,Jerome,male
nm0640930,"march 4, 1922",Martha O'Driscoll,Martha,female
nm0000890,"august 10, 1913",Noah Beery Jr.,Noah,male
nm0115452,"january 6, 1916",David Bruce,David,male
nm0659427,"january 23, 1889",Franklin Pangborn,Franklin,male
nm0460906,"may 9, 1901",Fuzzy Knight,Fuzzy,male
nm0742438,"september 6, 1904",Maxie Rosenbloom,Maxie,female
nm0035455,"july 4, 1888",Henry Armetta,Henry,male
nm0934699,"april 8, 1895",Marek Windheim,Marek,male
