Year,movieID,Actor_ID,Ethnicity,order,dob,age
1944,tt0036578,nm0000904,6,1,1906,38
1944,tt0036578,nm0907785,6,2,1920,24
1944,tt0036578,nm0641454,6,3,1908,36
1944,tt0036578,nm0517058,6,4,1898,46
1944,tt0036578,nm0166477,6,5,1885,59
1944,tt0036578,nm0281329,6,7,1906,38
1944,tt0036578,nm0402277,6,8,1910,34
1944,tt0036578,nm0262833,6,10,1882,62
1944,tt0036578,nm0286704,4,11,1902,42
1944,tt0036578,nm0007995,3,12,1905,39
1944,tt0036578,nm0041410,6,14,1887,57
1944,tt0036578,nm0041669,6,15,1880,64
1944,tt0036578,nm0111523,6,16,1902,42
1944,tt0036753,nm0137947,6,1,1924,20
1944,tt0036753,nm0195888,6,2,1904,40
1944,tt0036753,nm0317050,6,3,1922,22
1944,tt0036753,nm0212869,6,5,1922,22
1944,tt0036753,nm0242001,6,6,1923,21
1944,tt0036753,nm0222797,6,7,1894,50
1944,tt0036753,nm0569466,6,10,1866,78
1944,tt0036753,nm0590224,1,12,1926,18
1944,tt0036579,nm0001695,6,1,1906,38
1944,tt0036579,nm0115597,6,2,1910,34
1944,tt0036579,nm0041304,6,3,1918,26
1944,tt0036579,nm0516876,6,4,1891,53
1944,tt0036579,nm0035877,6,5,1890,54
1944,tt0036579,nm0912478,4,6,1876,68
1944,tt0036579,nm0621002,0,7,1903,41
1944,tt0036579,nm0197950,4,9,1899,45
1944,tt0036579,nm1332365,6,10,1913,31
1944,tt0036579,nm0017202,6,13,1906,38
1944,tt0036579,nm0030516,6,14,1922,22
1944,tt0036579,nm0110886,6,18,1885,59
1944,tt0036581,nm0510134,4,1,1895,49
1944,tt0036581,nm0160130,6,2,1892,52
1944,tt0036581,nm0138885,6,3,1897,47
1944,tt0036581,nm0260722,6,4,1902,42
1944,tt0036581,nm0886870,6,5,1911,33
1944,tt0036581,nm0828523,6,6,1919,25
1944,tt0036581,nm0949876,6,8,1879,65
1944,tt0036581,nm0269709,4,9,1905,39
1944,tt0036581,nm0357111,4,10,1876,68
1944,tt0036581,nm0717046,6,12,1875,69
1944,tt0036581,nm0336633,6,16,1936,8
1944,tt0036581,nm0017674,4,17,1904,40
1944,tt0036582,nm0545298,6,1,1897,47
1944,tt0036582,nm0807252,6,2,1921,23
1944,tt0036582,nm0187981,4,3,1882,62
1944,tt0036582,nm0002118,4,4,1892,52
1944,tt0036582,nm0807580,6,5,1863,81
1944,tt0036582,nm0378026,6,7,1914,30
1944,tt0036582,nm0056719,6,8,1889,55
1944,tt0036582,nm0358899,6,9,1879,65
1944,tt0036582,nm0721803,6,10,1924,20
1944,tt0036582,nm0437463,6,11,1881,63
1944,tt0036582,nm0452939,6,12,1888,56
1944,tt0036582,nm0117194,6,13,1888,56
1944,tt0036582,nm0010958,6,14,1885,59
1944,tt0036582,nm0040341,6,15,1887,57
1944,tt0036582,nm0043849,6,16,1881,63
1944,tt0036582,nm0046633,6,17,1923,21
1944,tt0036582,nm0047889,6,18,1883,61
1944,tt0036590,nm0852710,6,1,1906,38
1944,tt0036590,nm0512267,6,2,1910,34
1944,tt0036590,nm0415591,4,4,1903,41
1944,tt0036590,nm0039989,6,5,1897,47
1944,tt0036590,nm0012441,6,6,1912,32
1944,tt0036590,nm0166477,6,7,1885,59
1944,tt0036590,nm0732552,6,8,1898,46
1944,tt0036590,nm0925113,6,9,1888,56
1944,tt0036590,nm0388232,4,11,1893,51
1944,tt0036590,nm0833363,4,12,1899,45
1944,tt0036590,nm0104585,3,15,1897,47
1944,tt0036590,nm0122834,6,17,1881,63
1944,tt0036590,nm0001983,6,18,1922,22
1944,tt0036591,nm0599688,6,1,1912,32
1944,tt0036591,nm0355755,6,2,1915,29
1944,tt0036591,nm0001947,3,3,1922,22
1944,tt0036591,nm0222596,4,4,1905,39
1944,tt0036591,nm0700084,6,6,1892,52
1944,tt0036591,nm0093769,6,7,1895,49
1944,tt0036591,nm0647752,6,8,1889,55
1944,tt0036591,nm0024738,6,9,1919,25
1944,tt0036591,nm0552077,4,10,1893,51
1944,tt0036591,nm0065717,6,11,1929,15
1944,tt0036591,nm0241009,6,12,1932,12
1944,tt0036591,nm0174813,6,14,1884,60
1944,tt0036591,nm0179591,6,15,1891,53
1944,tt0036592,nm0640930,6,1,1922,22
1944,tt0036592,nm0000890,4,2,1913,31
1944,tt0036592,nm0115452,6,3,1916,28
1944,tt0036592,nm0659427,6,4,1889,55
1944,tt0036592,nm0460906,6,5,1901,43
1944,tt0036592,nm0742438,3,6,1904,40
1944,tt0036592,nm0035455,6,7,1888,56
1944,tt0036592,nm0822792,4,9,1884,60
1944,tt0036592,nm0086830,6,10,1894,50
1944,tt0036592,nm0840316,6,11,1906,38
1944,tt0036592,nm0203527,6,12,1888,56
1944,tt0036592,nm0357963,6,13,1887,57
1944,tt0036592,nm0151370,6,14,1898,46
1944,tt0036592,nm0398250,6,15,1886,58
1944,tt0036592,nm0825549,6,16,1894,50
1944,tt0036592,nm0390676,6,17,1895,49
1944,tt0036596,nm0002046,6,1,1901,43
1944,tt0036596,nm0723954,6,2,1917,27
1944,tt0036596,nm0008496,4,3,1898,46
1944,tt0036596,nm0702798,6,4,1899,45
1944,tt0036596,nm0573640,4,5,1911,33
1944,tt0036596,nm0010958,6,8,1885,59
1944,tt0036596,nm0017578,4,9,1882,62
1944,tt0036596,nm0017674,4,10,1904,40
1944,tt0036596,nm0007215,6,12,1879,65
1944,tt0036596,nm0060876,6,13,1935,9
1944,tt0036596,nm0066024,6,14,1903,41
1944,tt0036596,nm0067589,6,16,1902,42
1944,tt0036600,nm0483787,6,1,1914,30
1944,tt0036600,nm0534045,4,2,1908,36
1944,tt0036600,nm0002149,6,3,1921,23
1944,tt0036600,nm0528658,6,4,1926,18
1944,tt0036600,nm0151438,6,5,1926,18
1944,tt0036600,nm0906940,3,6,1887,57
