Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You will answer questions about eight images. After that, you will answer general questions about your perception of the US population. Finally, you will answer some demographic questions about yourself. The survey will take approximately 5-10 minutes to complete.


No personal information is collected. There are no apparent risks associated with the user study. You have the right to withdraw at any point during the study.


The Principal Investigator for this study is Prof. Yasir Zaki of New York University Abu Dhabi (yasir.zaki@nyu.edu). Please contact us for  any inquiries.


By clicking the button below, you acknowledge:


1. Your participation in the competition is voluntary.
2. You are 18 years of age or older.
3. You are aware that you may withdraw from the study at any time for any reason.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,Q2: To what degree do you agree with this statement: “The actress in this poster is portrayed suggestively” - Response,Q3: How old do you think the actress portrayed in this poster is? - Age,Q4: What rating do you think this movie received from viewers? - Rating,"Q1: To what degree do you agree with this statement: “In popular media, women are more likely to be hired for their looks than their acting skills” - Percentage","Q2: In the US, what proportion of women do you believe are hired at least partially based on their physical appearance? - Percentage",Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,Q1: What do you think is the job title of the person depicted in the advertisement?,Q2: How old do you think the person portrayed in this advertisement is? - Age,Q3: How much do you think is the average yearly income of the job depicted in the advertisement?,Q4: What do you think is the perceived gender of the person featured in the advertisement?,"If you had to guess, in the Banking industry in the US, what percentage of employees are men? - Percentage",How would you describe your political ideology,What is your age? - age,Please select your gender identity? - Selected Choice,Please select your gender identity? - Other (specify) - Text,Which of the following best describes your race?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (specify) - Text,​​Which of the following best describes your total annual income before taxes?,"What city do you reside in? Please indicate the city and state separated with a comma (e.g, Tulsa, Oklahoma).",Openness to Experience - I enjoy trying new things,Openness to Experience - I am open to new experiences,Openness to Experience - I am imaginative and creative,Openness to Experience - I prefer variety to routine,Conscientiousness - I am organized and pay attention to details,Conscientiousness - I am diligent and work hard,Conscientiousness - I follow through on tasks,Conscientiousness - I am responsible and reliable,Extraversion - I am outgoing and sociable,Extraversion - I enjoy being around other people,Extraversion - I am talkative and assertive in social situations,Extraversion - I seek excitement and stimulation,Agreeableness - I am considerate and kind to others,Agreeableness - I am sympathetic and compassionate,Agreeableness - I value cooperation and harmony,Agreeableness - I trust others and believe in their good intentions,Neuroticism - I often feel anxious or worried,Neuroticism - I am easily upset or stressed,Neuroticism - I experience frequent mood swings,Neuroticism - I tend to be more sensitive to criticism
19/04/2024 15:05,19/04/2024 15:11,IP Address,45.25.198.241,100,377,TRUE,19/04/2024 15:11,R_2TBgPrCFJ1GatgZ,,,,,31.5168,-87.8724,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Executive,28,"$50,000 - $100,000",Male,Manager,42,"$50,000 - $100,000",Male,Receptionist,51,"$0 - $50,000",Male,Manager,37,"$50,000 - $100,000",Male,Manager,66,"$50,000 - $100,000",Male,Executive,58,"$100,000 - $200,000",Male,Accountant,45,"$50,000 - $100,000",Male,Receptionist,38,"$50,000 - $100,000",Male,67,independent,31,Female,,Black or African American,Some College or Associate's Degree,,"Less than $25,000","Jackson, Alabama",Strongly Agree [2],Strongly Agree [2],Disagree [-1],Neutral [0],Agree [1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Disagree [-1],Disagree [-1],Strongly Disagree [-2],Neutral [0],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Neutral [0],Neutral [0],Neutral [0],Neutral [0]
19/04/2024 15:14,19/04/2024 15:19,IP Address,99.112.206.166,100,259,TRUE,19/04/2024 15:19,R_7YgrUYM1jUseTNz,,,,,29.92,-95.5612,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manager,28,"$50,000 - $100,000",Male,Other,41,"$0 - $50,000",Male,Accountant,34,"$0 - $50,000",Male,Other,28,"$50,000 - $100,000",Male,Executive,49,"$50,000 - $100,000",Male,Executive,40,"$100,000 - $200,000",Male,Manager,33,"$0 - $50,000",Male,Other,23,"$0 - $50,000",Male,81,strong Democrat,21,Female,,Asian,Some College or Associate's Degree,,"$25,000 - $49,999","houston, texas",Agree [1],Agree [1],Agree [1],Disagree [-1],Neutral [0],Disagree [-1],Disagree [-1],Neutral [0],Strongly Disagree [-2],Neutral [0],Disagree [-1],Neutral [0],Neutral [0],Agree [1],Agree [1],Neutral [0],Agree [1],Neutral [0],Disagree [-1],Agree [1]
19/04/2024 15:39,19/04/2024 15:47,IP Address,73.209.47.50,100,491,TRUE,19/04/2024 15:47,R_5A6AjPrJfMBFCvv,,,,,40.1016,-88.2822,anonymous,EN,"I consent, begin the study",,,,,101,Strongly Agree (3),24,6,150,Strongly Agree (3),22,5,73,Agree (2),19,4,175,Strongly Agree (3),34,6,84,Strongly Agree (3),27,6,74,Strongly Agree (3),23,5,23,Slightly Agree (1),27,5,100,Agree (2),25,7,Agree (2),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lean Democrat,31,Female,,White,Bachelor's Degree,,"$25,000 - $49,999","Champaign, Illinois",Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Neutral [0],Disagree [-1],Disagree [-1],Disagree [-1],Disagree [-1]
19/04/2024 15:54,19/04/2024 16:01,IP Address,69.127.14.72,100,464,TRUE,19/04/2024 16:01,R_2oyDDELTdUDJ0Ih,,,,,40.8731,-73.8726,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,24,"$50,000 - $100,000",Male,Manager,39,"$50,000 - $100,000",Male,Other,40,"$50,000 - $100,000",Male,Manager,32,"$50,000 - $100,000",Male,Manager,51,"$50,000 - $100,000",Male,Executive,56,"$100,000 - $200,000",Male,Other,30,"$0 - $50,000",Male,Other,28,"$0 - $50,000",Male,90,not very strong Democrat,61,Female,,LatinX,Master's Degree,,"$75,000 - $99,999","New York, NY",Agree [1],Agree [1],Neutral [0],Agree [1],Strongly Agree [2],Agree [1],Agree [1],Strongly Agree [2],Neutral [0],Neutral [0],Neutral [0],Neutral [0],Agree [1],Strongly Agree [2],Strongly Agree [2],Agree [1],Disagree [-1],Disagree [-1],Disagree [-1],Disagree [-1]
19/04/2024 15:59,19/04/2024 16:04,IP Address,174.177.48.139,100,334,TRUE,19/04/2024 16:04,R_17mOLoRiBiWGdgt,,,,,35.8974,-83.9425,anonymous,EN,"I consent, begin the study",,,,,150,Slightly Agree (1),34,7,248,Agree (2),23,9,125,Agree (2),19,6,283,Neutral (0),32,7,241,Agree (2),31,4,84,Strongly Agree (3),26,7,196,Slightly Agree (1),40,5,249,Strongly Agree (3),34,5,Agree (2),87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lean Democrat,19,Female,,White,High School Diploma or Equivalent,,"Less than $25,000","knoxville, tennessee",Strongly Agree [2],Strongly Agree [2],Agree [1],Neutral [0],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Neutral [0],Neutral [0],Neutral [0]
19/04/2024 16:03,19/04/2024 16:11,IP Address,24.28.77.20,100,485,TRUE,19/04/2024 16:11,R_3lxb9SiCkq9LTy1,,,,,30.424,-97.7932,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,23,"$0 - $50,000",Male,Other,37,"$50,000 - $100,000",Male,Other,32,"$0 - $50,000",Male,Other,33,"$100,000 - $200,000",Male,Other,50,"$50,000 - $100,000",Male,Manager,52,"$100,000 - $200,000",Male,Other,32,"$100,000 - $200,000",Male,Other,24,"$0 - $50,000",Male,68,independent,46,Prefer not to say,,LatinX,Bachelor's Degree,,"$200,000 or more","Austin, Texas",Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Disagree [-1],Strongly Disagree [-2],Strongly Disagree [-2],Disagree [-1]
19/04/2024 16:07,19/04/2024 16:11,IP Address,35.138.77.55,100,279,TRUE,19/04/2024 16:11,R_2dGzmDyoohdJAf7,,,,,28.0331,-81.9391,anonymous,EN,"I consent, begin the study",,,,,70,Agree (2),33,5,158,Agree (2),34,8,89,Agree (2),25,7,198,Disagree (-2),48,8,191,Agree (2),38,8,79,Agree (2),25,6,81,Agree (2),29,8,120,Agree (2),39,6,Slightly Agree (1),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent,34,Male,,White,Some College or Associate's Degree,,"$25,000 - $49,999","Lakeland, Florida",Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Neutral [0],Neutral [0],Neutral [0],Agree [1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Disagree [-1]
19/04/2024 16:09,19/04/2024 16:13,IP Address,98.176.172.199,100,246,TRUE,19/04/2024 16:13,R_1EFPbyLzJqBPfIU,,,,,32.7258,-116.9933,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manager,26,"$50,000 - $100,000",Male,Manager,30,"$50,000 - $100,000",Male,Receptionist,29,"$0 - $50,000",Male,Accountant,29,"$50,000 - $100,000",Male,Accountant,55,"$50,000 - $100,000",Male,Manager,55,"$50,000 - $100,000",Male,Executive,40,"$50,000 - $100,000",Male,Accountant,30,"$50,000 - $100,000",Male,66,not very strong Republican,63,Female,,White,High School Diploma or Equivalent,,"$150,000 - $199,999","San Diego, California",Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Disagree [-1],Disagree [-1],Disagree [-1],Disagree [-1]
19/04/2024 16:10,19/04/2024 16:16,IP Address,104.5.189.205,100,371,TRUE,19/04/2024 16:16,R_1wFQC1GgnHWdQzU,,,,,30.6701,-81.4658,anonymous,EN,"I consent, begin the study",,,,,35,Agree (2),20,6,17,Agree (2),23,3,15,Agree (2),25,4,75,Slightly Agree (1),36,8,12,Agree (2),35,3,10,Agree (2),23,3,35,Agree (2),19,4,40,Strongly Agree (3),29,4,Slightly Agree (1),70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent,56,Female,,White,Bachelor's Degree,,"$25,000 - $49,999","Fernandina Beach, Florida",Agree [1],Agree [1],Neutral [0],Agree [1],Neutral [0],Neutral [0],Agree [1],Agree [1],Neutral [0],Neutral [0],Disagree [-1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Disagree [-2],Agree [1]
19/04/2024 16:09,19/04/2024 16:17,IP Address,107.180.129.155,100,499,TRUE,19/04/2024 16:17,R_5OeSVmg9XDcNPzI,,,,,39.0469,-77.4903,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manager,30,"$50,000 - $100,000",Male,Accountant,40,"$100,000 - $200,000",Male,Receptionist,29,"$50,000 - $100,000",Male,Other,29,"$50,000 - $100,000",Male,Executive,50,"$200,000 - $500,000",Male,Executive,41,"$100,000 - $200,000",Male,Manager,34,"$100,000 - $200,000",Male,Receptionist,24,"$50,000 - $100,000",Male,70,not very strong Democrat,28,Male,,Black or African American,Master's Degree,,"$50,000 - $74,999",virginia,Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Neutral [0],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Neutral [0],Agree [1],Agree [1],Agree [1],Agree [1]
