Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You will answer questions about eight images. After that, you will answer general questions about your perception of the US population. Finally, you will answer some demographic questions about yourself. The survey will take approximately 5-10 minutes to complete.


No personal information is collected. There are no apparent risks associated with the user study. You have the right to withdraw at any point during the study.


The Principal Investigator for this study is Prof. Yasir Zaki of New York University Abu Dhabi (yasir.zaki@nyu.edu). Please contact us for  any inquiries.


By clicking the button below, you acknowledge:


1. Your participation in the competition is voluntary.
2. You are 18 years of age or older.
3. You are aware that you may withdraw from the study at any time for any reason.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,Q1: What do you think is the budget of this movie? - Budget,"Q2: In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived In this movie, there is a single actress/actor who plays the leading role. Based on the movie poster, what do you think is the perceived race of that actress/actor? of that actress/actor? - Race",Q3: What do you think is the main genre of this movie?,Q4: What rating do you think this movie received from viewers? - Rating,"If you had to guess, what percentage of White employees play a leading role in their organization? - Percentage","If you had to guess, what percentage of Black employees play a leading role in their organization? - Percentage","If you had to guess, what percentage of Asian employees play a leading role in their organization? - Percentage","If you had to guess, what percentage of Latinx employees play a leading role in their organization? - Percentage",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness",Q1: What do you think is the price of the product advertised in this image? - Price ($),Q2: What do you think is the perceived race of the model in this advertisement? - Race,"Q3: In your opinion, how effective is the advertisement in convincing viewers to buy this product? - Effectiveness","If you had to guess, what proportion of White households in the US do you think make more than $500,000 a year? - Percentage","If you had to guess, what proportion of Black households in the US do you think make more than $500,000 a year? - Percentage","If you had to guess, what proportion of Asian households in the US do you think make more than $500,000 a year? - Percentage","If you had to guess, what proportion of Latinx households in the US do you think make more than $500,000 a year? - Percentage","Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"Q1: In your opinion, how effective is the magazine cover in convincing viewers to buy this magazine issue? - Effectiveness",Q2: How old do you think the model portrayed in this magazine cover is? - Age,Q3: What do you think is the perceived race of the model shown on the cover? - Race,"If you had to guess, what percentage of the US population associate the terms ""fashionable"" and ""classy"" with White people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""fashionable"" and ""classy"" with Black people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""fashionable"" and ""classy"" with Asian people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""fashionable"" and ""classy"" with Latinx people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""beautiful"" and ""attractive"" with White people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""beautiful"" and ""attractive"" with Black people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""beautiful"" and ""attractive"" with Asian people? - Percentage","If you had to guess, what percentage of the US population associate the terms ""beautiful"" and ""attractive"" with Latinx people? - Percentage",How would you describe your political ideology,What is your age? - age,Please select your gender identity? - Selected Choice,Please select your gender identity? - Other (specify) - Text,Which of the following best describes your race?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (specify) - Text,​​Which of the following best describes your total annual income before taxes?,"What city do you reside in? Please indicate the city and state separated with a comma (e.g, Tulsa, Oklahoma).",Openness to Experience - I enjoy trying new things,Openness to Experience - I am open to new experiences,Openness to Experience - I am imaginative and creative,Openness to Experience - I prefer variety to routine,Conscientiousness - I am organized and pay attention to details,Conscientiousness - I am diligent and work hard,Conscientiousness - I follow through on tasks,Conscientiousness - I am responsible and reliable,Extraversion - I am outgoing and sociable,Extraversion - I enjoy being around other people,Extraversion - I am talkative and assertive in social situations,Extraversion - I seek excitement and stimulation,Agreeableness - I am considerate and kind to others,Agreeableness - I am sympathetic and compassionate,Agreeableness - I value cooperation and harmony,Agreeableness - I trust others and believe in their good intentions,Neuroticism - I often feel anxious or worried,Neuroticism - I am easily upset or stressed,Neuroticism - I experience frequent mood swings,Neuroticism - I tend to be more sensitive to criticism
17/04/2024 13:18,17/04/2024 13:31,IP Address,73.108.137.182,100,774,TRUE,17/04/2024 13:31,R_5stCdvRYRbcFlgz,,,,,33.3449,-82.0829,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40080,White,Effective (2),70643,White,Effective (2),49866,White,Effective (2),64254,White,Effective (2),67158,White,Very effective (3),73458,Asian,Effective (2),97185,Latinx,Effective (2),47587,Latinx,Effective (2),92,82,68,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strong Democrat,51,Male,,Black or African American,Doctoral Degree,,"$150,000 - $199,999","Michigan, Detroit",Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2],Agree [1],Strongly Agree [2]
17/04/2024 13:28,17/04/2024 13:32,IP Address,136.35.209.40,100,213,TRUE,17/04/2024 13:32,R_1PaRtmrZhMEurI9,,,,,39.214,-94.5826,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly effective (1),32,Asian,Effective (2),29,White,Effective (2),31,White,Slightly effective (1),27,White,Effective (2),22,White,Effective (2),29,White,Slightly effective (1),24,White,Very effective (3),38,White,70,30,54,56,93,72,67,73,strong Democrat,49,Female,,White,High School Diploma or Equivalent,,"$25,000 - $49,999","Kansas City, Missouri",Disagree [-1],Disagree [-1],Agree [1],Strongly Disagree [-2],Disagree [-1],Agree [1],Strongly Agree [2],Agree [1],Agree [1],Strongly Agree [2],Agree [1],Disagree [-1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Strongly Agree [2]
17/04/2024 13:37,17/04/2024 13:43,IP Address,72.176.48.213,100,345,TRUE,17/04/2024 13:43,R_1mJLodG0rQWgzs3,,,,,31.0682,-97.392,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ineffective (-2),30,White,Very ineffective (-3),36,White,Very ineffective (-3),25,White,Neutral (0),23,White,Slightly effective (1),18,White,Very ineffective (-3),30,White,Very ineffective (-3),23,White,Ineffective (-2),42,White,80,40,90,70,95,40,20,60,strong Republican,31,Female,,White,High School Diploma or Equivalent,,"Less than $25,000","Temple, Texas",Agree [1],Agree [1],Strongly Agree [2],Disagree [-1],Strongly Agree [2],Agree [1],Neutral [0],Agree [1],Strongly Disagree [-2],Strongly Disagree [-2],Strongly Disagree [-2],Strongly Disagree [-2],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Agree [1],Strongly Agree [2],Strongly Agree [2]
17/04/2024 13:39,17/04/2024 13:43,IP Address,104.54.209.206,100,238,TRUE,17/04/2024 13:43,R_2Cp5EtP2SBpKCVf,,,,,30.5875,-97.8535,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29625,White,Neutral (0),33646,White,Effective (2),29625,White,Effective (2),50000,White,Slightly effective (1),46783,White,Slightly effective (1),38740,White,Effective (2),35925,White,Neutral (0),46381,White,Neutral (0),5,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not very strong Republican,46,Male,,White,Bachelor's Degree,,"$100,000 - $149,999","Leander, Texas",Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Agree [1],Disagree [-1],Agree [1]
17/04/2024 13:44,17/04/2024 13:49,IP Address,104.229.175.197,100,248,TRUE,17/04/2024 13:49,R_6FpkP1rHLEgkB1f,,,,,43.9771,-75.9093,anonymous,EN,"I consent, begin the study",,,,,211,White,Action,8,74,White,Action,4,131,White,Action,7,151,White,Action,6,155,White,Drama,7,129,White,Drama,7,76,White,Drama,6,203,White,Action,8,82,20,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent,35,Male,,White,Bachelor's Degree,,"$100,000 - $149,999","Watertown, NY",Strongly Agree [2],Strongly Agree [2],Agree [1],Neutral [0],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Agree [1],Neutral [0],Disagree [-1],Disagree [-1],Agree [1]
17/04/2024 13:48,17/04/2024 13:53,IP Address,100.12.7.106,100,356,TRUE,17/04/2024 13:53,R_3CILVJxaWJqB6Xm,,,,,40.7538,-73.9835,anonymous,EN,"I consent, begin the study",,,,,200,White,Action,7,14,White,Horror,3,50,White,Action,6,100,White,Drama,6,90,White,Drama,7,105,White,Drama,5,99,White,Other,9,225,White,Action,8,85,20,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not very strong Democrat,37,Male,,White,Master's Degree,,"$100,000 - $149,999","New York, New York",Agree [1],Agree [1],Strongly Agree [2],Disagree [-1],Agree [1],Agree [1],Agree [1],Agree [1],Disagree [-1],Disagree [-1],Disagree [-1],Disagree [-1],Agree [1],Agree [1],Agree [1],Disagree [-1],Agree [1],Agree [1],Disagree [-1],Agree [1]
17/04/2024 13:51,17/04/2024 13:55,IP Address,128.104.97.203,100,193,TRUE,17/04/2024 13:55,R_7fIBXwjlw0STiRD,,,,,43.1228,-89.3841,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630,White,Slightly effective (1),7239,White,Slightly effective (1),7909,White,Effective (2),5764,White,Effective (2),4424,White,Slightly effective (1),4826,White,Slightly ineffective (-1),1206,White,Neutral (0),3887,White,Slightly effective (1),35,12,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strong Democrat,21,Female,,Asian,Some College or Associate's Degree,,"Less than $25,000","Plymouth, Minnesota",Agree [1],Agree [1],Strongly Agree [2],Neutral [0],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Neutral [0],Agree [1],Agree [1],Strongly Agree [2],Agree [1],Disagree [-1],Agree [1],Agree [1],Strongly Disagree [-2],Neutral [0]
17/04/2024 13:52,17/04/2024 13:57,IP Address,70.161.38.22,100,345,TRUE,17/04/2024 13:57,R_3A5wrVXt4kQ5sch,,,,,36.7816,-76.075,anonymous,EN,"I consent, begin the study",,,,,119,White,Action,7,66,White,Horror,2,110,White,Action,6,70,White,Drama,5,80,White,Drama,7,90,White,Drama,6,89,White,Other,6,174,White,Action,8,70,15,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lean Republican,27,Male,,Asian,Some College or Associate's Degree,,"$50,000 - $74,999","Virginia Beach, Virginia ",Strongly Agree [2],Strongly Agree [2],Agree [1],Neutral [0],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Neutral [0],Agree [1],Neutral [0],Disagree [-1],Disagree [-1]
17/04/2024 13:50,17/04/2024 14:00,IP Address,72.26.30.183,100,601,TRUE,17/04/2024 14:00,R_3Nt6uZFCxtiIsGT,,,,,30.2254,-95.4971,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly effective (1),28,White,Slightly effective (1),33,White,Neutral (0),36,White,Very effective (3),38,White,Slightly effective (1),27,White,Neutral (0),34,White,Very effective (3),46,White,Slightly effective (1),50,White,60,30,10,10,40,40,10,10,independent,22,Male,,Black or African American,High School Diploma or Equivalent,,"$25,000 - $49,999",California,Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Strongly Agree [2],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Agree [1],Neutral [0],Neutral [0],Neutral [0],Agree [1]
17/04/2024 13:54,17/04/2024 14:01,IP Address,97.138.152.16,100,408,TRUE,17/04/2024 14:01,R_1R3NBqbpLqeFm9d,,,,,28.6344,-81.6221,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Effective (2),22,White,Slightly effective (1),27,White,Neutral (0),28,White,Slightly effective (1),23,White,Effective (2),21,White,Slightly effective (1),26,White,Very effective (3),24,White,Slightly effective (1),29,White,70,75,59,48,85,76,68,59,strong Republican,31,Male,,Black or African American,Bachelor's Degree,,"Less than $25,000","juneanu, Alaska",Strongly Agree [2],Agree [1],Neutral [0],Disagree [-1],Strongly Agree [2],Disagree [-1],Neutral [0],Agree [1],Strongly Agree [2],Agree [1],Neutral [0],Disagree [-1],Strongly Disagree [-2],Disagree [-1],Neutral [0],Agree [1],Strongly Agree [2],Agree [1],Disagree [-1],Neutral [0]
