year,month,cover_model,date_of_birth,profession
1995,January,Keren Mulder,1969,Model & Singer
1995,February,Stephanie Seymour,1968,Model & Actress
1995,March,Claudia Schiffer,1970,Model & Actress
1995,April,Kristen McMenamy,1964,Model
1995,May,Claudia Schiffer,1970,Model & Actress
1995,June,Amber Valletta,1974,Model & Actress
1995,July,Kate Moss,1974,Model
1995,August,Linda Evangelista,1965,Model
1995,September,Shalom Harlow,1973,Model & Actress
1995,September,Amber Valletta,1974,Model & Actress
1995,October,Demi Moore,1962,Actress
1995,November,Kristy Hume,1976,Model
1995,December,Julia Ormond,1965,Actress
1996,January ,Amber Valletta,1974,Model & Actress
1996,February,Shalom Harlow,1973,Model & Actress
1996,March,Claudia Maria Schiffer,1970,Model & Actress
1996,April,Lisa Marie Presley,1968,Singer & Songwriter
1996,May,Naomi Elaine Campbell,1970,Model
1996,May,Nicole Renee Taylor,1975,Model & hostess
1996,June,Katherine Ann Moss,1974,Model
1996,July,Amber Valletta,1974,Model and Actress
1996,August,Gwyneth Kate Paltrow,1972,Actress & Businesswomen
1996,September,Kate Moss,1974,Model
1996,September,Amber Valletta,1974,Model & Actress
1996,October,Madonna Louise Ciccone,1958,"Singer, songwriter & actress"
1996,November,Linda Evangelista,1965,Fashion model
1996,December,Winona Ryder,1971,Actress
1997,January ,Amber Valletta,1974,Model & actress
1997,February,Kristy Hume,1976,Model
1997,March,Shalom Harlow,1973,Model & actress
1997,March,Amber Valletta,1974,Model & actress
1997,April,Carolyn Murphy,1974,Model & actress
1997,April,Amber Valletta,1974,Model & actress
1997,April,Shalom Harlow,1973,Model & actress
1997,May,Georgina Grenville,1975,Fashion model
1997,June,Uma Thurman,1970,Actress & model
1997,July,Kiara Kubukuru,1975,Fashion model
1997,August,Georgina Grenville,1975,Fashion model
1997,September,Linda Evangelista,1965,Fashion model
1997,October,Cameron Diaz,1972,"Actress, author, entrepreneur & model"
1997,November,Stella Tennant ,1970,Model & fashion designer 
1997,December,Shalom Harlow,1973,Model & actress
1997,December,Georgina Grenville,1975,Fashion model
1998,January,Spice Girls,1994,Girl group
1998,February,Angela Lindvall,1979,Model & actress
1998,February,Carolyn Murphy,1974,Model & actress
1998,February,Stella Tennant ,1970,Model & fashion designer 
1998,March,Kate Moss,1974,Model
1998,March,Amber Valletta,1974,Model & actress
1998,April,Amber Valletta,1974,Model & actress
1998,May,Elizabeth Hurley ,1965,Model & actress
1998,June,Sandra Bullock,1964,Actress & producer
1998,July,Claire Danes,1979,Actress
1998,August,Carolyn Murphy,1974,Model & actress
1998,September,Renee Zellweger,1969,Actress
1998,October,Oprah Winfrey,1954,"Talk show host, producer, actress, author & media proprietor"
1998,November,Amber Valletta,1974,Model & actress
1998,December,Hillary Clinton ,1947,American politician & diplomat 
1999,January ,Jewel Kilcher ,1974,Singer-songwriter
1999,February,Stella Tennant ,1970,Model & fashion designer 
1999,March,Carolyn Murphy,1974,Model & actress
1999,April,Maggie Rizer,1978,Model & activist
1999,April,Kate Moss,1974,Model
1999,May,Carmen Kass,1978,Model & former politician candidate 
1999,June,Nicole Kidman ,1967,Actress & producer 
1999,July,Gisele Bundchen,1980,Model
1999,August,Carolyn Murphy,1974,Model & actress
1999,September,Gwyneth Kate Paltrow,1972,Actress & Businesswomen
1999,October,Winona Ryder,1971,actress
1999,November,Kate Moss,1974,Model
1999,November ,Gisele Bundchen,1980,Model
1999,November,Lauren Hutton,1943,model & actress
1999,November,Iman,1955,model & actress
1999,November,Naomi Elaine Campbell,1970,model
1999,November,Stephanie Seymour,1968,model & actress
1999,November,Amber Valletta,1974,model & actress
1999,November,Christy Turlington,1969,Model & humanitarian 
1999,November,Claudia Schiffer,1970,model & actress
1999,November,Lisa Taylor,1971,model & actress
1999,November,Paulina Porizkova,1965,model & writer
1999,November,Carolyn Murphy,1974,model & actress
1999,November,Patti Hansen,1956,model & actress
1999,December,Gisele Bundchen,1980,Model
2000,January ,Gisele Bundchen,1980,Model
2000,January ,Carmen Kass,1978,Model & former politician candidate 
2000,February,Angela Lindvall,1979,model & actress
2000,March,Amber Valletta,1974,model & actress
2000,April,Carolyn Murphy,1974,model & actress
2000,May,Gisele Bundchen,1980,Model
2000,June,Gisele Bundchen,1980,Model
2000,June,George Clooney,1961,actor & filmmaker
2000,July,Cate Blanchett,1969,actor & producer
2000,August,Carmen Kass,1978,Model & former politician candidate 
2000,September,Bridget Hall,1977,model
2000,October,Charlize Theron,1975,actress & producer
2000,November,Carmen Kass,1978,Model & former politician candidate 
2000,November ,Angela Lindvall,1979,model & actress 
2000,November ,Maggie Rizer,1978,model & activist 
2000,November ,Frankie Rayder,1975,model
2000,December,Nicole Kidman ,1967,actress & producer
2001,January ,Marison Jones,1975,Former world champion and professional basketball player
2001,February,Karolina Kurkova,1984,Model & actress
2001,March,Penelope Cruz,1974,Actress
2001,April,Renee Zellweger,1969,Actress
2001,May,Carmen Kass,1978,Model & political candidate 
2001,June,Gisele Bundchen,1980,Model
2001,July,Catherine Zeta-Jones,1969,Actress
2001,August,Amber Valletta,1974,Model & actress
2001,September,Linda Evangelista,1965,fashion model
2001,October,Carolyn Murphy,1974,Model & actress
2001,November,Britney spears,1981,singer
2001,December,Gisele Bundchen,1980,model
