country,percentage,majority_white
Netherlands,96.82539682539682,True
India,14.285714285714286,False
UK,84.59016393442623,True
Mexico,87.5,False
Japan,86.20689655172414,False
Germany,89.72602739726027,True
South Korea,64.70588235294117,False
Thailand,70.37037037037037,False
Portugal,88.50574712643679,False
Spain,87.83068783068784,False
Italy,83.15334773218143
Brazil,74.18300653594771,False
Arabia,34.074074074074076,False
Turkey,93.33333333333333,False
Australia,88.17733990147784,True
China,47.9020979020979,False
France,87.95180722891567,True
Russia,93.44978165938865,True
Taiwan,10.0,False
USA,79.87616099071208,True
Ukraine,92.53731343283582,True
