year,house,y_pred,num_pixels
1970,Anne Klein & Co,6,36456
1970,Bergdorf Goodman & Co,6,21082
1970,Bergdorf Goodman & Co,6,27676
1970,Bergdorf Goodman & Co,6,5208
1970,Bill Blass,6,894621
1970,Bill Blass,6,298290
1970,Blackglama,6,207108
1970,Blackglama,6,70366
1970,Bloomingdales,6,82319
1970,Chanel,6,455248
1970,Chanel,6,425500
1970,Chanel,6,38243
1970,Chanel,6,103180
1970,Chanel,6,45162
1970,Chanel,6,234624
1970,Chanel,6,266760
1970,Christian Dior,6,1288980
1970,Christian Dior,6,236394
1970,Christian Dior,6,180320
1970,Christian Dior,6,80206
1970,Christian Dior,6,62930
1970,Christian Dior,6,10440
1970,Christian Dior,6,121695
1970,Christian Dior,0,146700
1970,Christian Dior,6,54912
1970,Christian Dior,6,49288
1970,Christian Dior,6,83657
1970,Christian Dior,6,440484
1970,Christian Dior,6,46222
1970,Christian Dior,4,32480
1970,Christian Dior,3,166805
1970,Christian Dior,6,100748
1970,Christian Dior,6,93340
1970,Christian Dior,6,46002
1970,Christian Dior,6,41360
1970,Christian Dior,6,27020
1970,Christian Dior,6,10092
1970,Christian Dior,6,13500
1970,Christian Dior,6,5695
1970,Christian Dior,6,49698
1970,Christian Dior,6,10948
1970,Christian Dior,6,9374
1970,Christian Dior,6,14040
1970,Christian Dior,4,16016
1970,Christian Dior,6,28490
1970,Christian Dior,6,34440
1970,Christian Dior,6,61880
1970,Christian Dior,6,62325
1970,Christian Dior,6,44280
1970,Christian Dior,6,33000
1970,Christian Dior,6,49329
1970,Christian Dior,6,52353
1970,Christian Dior,6,47403
1970,Christian Dior,6,47034
1970,Christian Dior,6,54488
1970,Christian Dior,6,307440
1970,Christian Dior,6,113955
1970,Christian Dior,6,53186
1970,Christian Dior,6,232960
1970,Christian Dior,6,13886
1970,Christian Dior,6,68554
1970,Christian Dior,6,5695
1970,Christian Dior,6,66490
1970,Christian Dior,6,53336
1970,Christian Dior,6,54860
1970,Christian Dior,6,53000
1970,Christian Dior,6,49164
1970,Christian Dior,6,1148750
1970,Christian Dior,6,147272
1970,Christian Dior,6,55594
1970,Christian Dior,6,59920
1970,Christian Dior,6,44826
1970,Christian Dior,6,1844829
1970,Christian Dior,6,1283814
1970,Christian Dior,0,463904
1970,Christian Dior,6,89760
1970,Christian Dior,6,887220
1970,Christian Dior,6,798756
1970,Christian Dior,6,52371
1970,Christian Dior,6,64602
1970,Christian Dior,6,45627
1970,Christian Dior,6,44226
1970,Christian Dior,3,54696
1970,Christian Dior,6,38272
1970,Christian Dior,6,46964
1970,Christian Dior,6,92296
1970,Christian Dior,6,51450
1970,Christian Dior,6,480420
1970,Christian Dior,3,371290
1970,Christian Dior,6,519112
1970,Christian Dior,6,443256
1970,Christian Dior,6,40581
1970,Christian Dior,6,13650
1970,Christian Dior,3,93280
1970,Christian Dior,6,5893
1970,Christian Dior,6,29328
1970,Christian Dior,0,72220
1970,Christian Dior,6,102784
1970,Christian Dior,6,89744
1970,Christian Dior,6,148630
1970,Christian Dior,6,171950
1970,Christian Dior,6,56760
1970,Christian Dior,6,51914
1970,"Clinique Laboratories, Inc",6,658661
1970,Elizabeth Arden Co,2,373833
1970,Elizabeth Arden Co,6,397054
1970,Elizabeth Arden Co,6,403824
1970,Elizabeth Arden Co,6,320187
1970,Elizabeth Arden Co,6,576816
1970,Elizabeth Arden Co,6,41995
1970,Elizabeth Arden Co,6,41995
1970,Elizabeth Arden Co,6,41995
1970,Elizabeth Arden Co,6,21250
1970,Elizabeth Arden Co,6,20856
1970,Elizabeth Arden Co,6,16520
1970,Elizabeth Arden Co,6,14766
1970,Elizabeth Arden Co,6,14874
1970,Elizabeth Arden Co,6,12152
1970,Elizabeth Arden Co,6,16478
1970,Elizabeth Arden Co,6,22733
1970,Elizabeth Arden Co,6,14076
1970,Givenchy Inc,6,2013632
1970,Lord & Taylor Co,6,37948
1970,Lord & Taylor Co,6,52000
1970,Lord & Taylor Co,6,45825
1970,Lord & Taylor Co,6,6992
1970,Lord & Taylor Co,3,6764
1970,Lord & Taylor Co,6,6450
1970,Lord & Taylor Co,6,47864
1970,Lord & Taylor Co,6,50304
1970,Lord & Taylor Co,6,46886
1970,Lord & Taylor Co,6,44469
1970,Lord & Taylor Co,6,49841
1970,Max Factor & Co,6,304008
1970,Max Factor & Co,6,445444
1970,Max Factor & Co,6,69832
1970,Max Factor & Co,6,28798
1970,Max Factor & Co,6,114818
1970,Max Factor & Co,6,77352
1970,Max Factor & Co,6,905886
1970,Max Factor & Co,6,18476
1970,Max Factor & Co,6,97344
1970,Max Factor & Co,6,21353
1970,Max Factor & Co,6,308637
1970,Max Factor & Co,6,872865
1970,Max Factor & Co,6,888896
1970,Max Factor & Co,6,223584
1970,Missoni,6,44132
1970,Missoni,6,30845
1970,Missoni,0,13624
1970,Missoni,0,23100
1970,Missoni,6,23240
1970,Missoni,6,14039
1970,Missoni,6,18696
1970,Missoni,6,52416
1970,Missoni,6,11700
1970,Missoni,6,6016
1970,Missoni,1,13837
1970,Missoni,6,17493
1970,Missoni,6,8239
1970,Missoni,6,19200
1970,Missoni,6,91476
1970,Missoni,6,131532
1970,Missoni,6,14065
1970,Missoni,6,60088
1970,Missoni,6,1906310
1970,Missoni,6,173999
1970,Missoni,6,251430
1970,Missoni,6,77175
1970,Missoni,6,61539
1970,Missoni,6,27636
1970,Missoni,6,136746
1970,Missoni,6,6319
1970,Neiman-Marcus Company,6,43152
1970,Neiman-Marcus Company,6,40290
1970,Oscar de la Renta,6,1451856
1970,Oscar de la Renta,6,36023
1970,Oscar de la Renta,6,63072
1970,Oscar de la Renta,6,887200
1970,Oscar de la Renta,6,156832
1970,Oscar de la Renta,6,63656
1970,Oscar de la Renta,6,132506
1970,Oscar de la Renta,0,105741
1970,Oscar de la Renta,6,75674
1970,Oscar de la Renta,3,49152
1970,Oscar de la Renta,3,913913
1970,Oscar de la Renta,6,67122
1970,Oscar de la Renta,6,73200
1970,Oscar de la Renta,3,69750
1970,Oscar de la Renta,6,83578
1970,Oscar de la Renta,3,38579
1970,Oscar de la Renta,6,162864
1970,Oscar de la Renta,6,75027
1970,Oscar de la Renta,6,65858
1970,Oscar de la Renta,6,1392691
1970,Oscar de la Renta,6,65534
1970,Oscar de la Renta,6,65120
1970,Oscar de la Renta,6,2039184
1970,Pantene Co,6,1229067
1970,Pantene Co,6,1927832
1970,Pantene Co,6,1303704
1970,"Revlon, Inc",6,1914810
1970,"Revlon, Inc",6,1567020
1970,"Revlon, Inc",6,1439847
1970,"Revlon, Inc",6,1319552
1970,"Revlon, Inc",6,1416580
1970,"Revlon, Inc",6,123909
1970,"Revlon, Inc",6,1264676
1970,"Revlon, Inc",6,1686333
1970,"Revlon, Inc",6,1829234
1970,"Revlon, Inc",6,2462265
1970,"Revlon, Inc",6,1182837
1970,"Revlon, Inc",6,1320570
1970,"Revlon, Inc",6,3542625
1970,"Revlon, Inc",6,2453356
1970,"Revlon, Inc",6,1287546
1970,"Revlon, Inc",6,1152255
1970,Saks & Company,6,32398
1970,Saks & Company,6,28305
1970,Saks & Company,6,23232
1970,Saks & Company,6,50629
1970,Saks & Company,6,47603
1970,Saks & Company,6,30843
1970,Saks & Company,6,33945
1970,Saks & Company,6,28608
1970,Saks & Company,6,116550
1970,Saks & Company,0,142400
1970,Saks & Company,6,216486
1970,Saks & Company,6,34980
1970,Saks & Company,6,30150
1970,Saks & Company,6,120204
1970,Saks & Company,6,123605
1970,Saks & Company,6,22139
1970,Saks & Company,6,55664
1970,Saks & Company,6,57057
1970,Saks & Company,6,105900
1970,Saks & Company,6,125080
1970,Saks & Company,6,78416
1970,Saks & Company,6,62192
1970,Saks & Company,6,14824
1970,Saks & Company,6,51531
1970,Saks & Company,6,20511
1970,Saks & Company,6,68929
1970,Saks & Company,6,78705
1970,Saks & Company,6,46706
1970,Saks & Company,6,84630
1970,Saks & Company,6,58658
1970,Saks & Company,6,63732
1970,Saks & Company,6,60208
1970,Saks & Company,6,50615
1970,Saks & Company,6,10120
1970,Saks & Company,6,40527
1970,Saks & Company,6,52470
1970,Saks & Company,6,64752
1970,Saks & Company,6,60822
1970,Saks & Company,4,48112
1970,Saks & Company,6,54069
1970,Saks & Company,6,52785
1970,Saks & Company,6,65475
1970,Saks & Company,4,78400
1970,Saks & Company,6,56126
1970,Saks & Company,4,56126
1970,Saks & Company,6,58936
1970,Saks & Company,6,38127
1970,Saks & Company,6,48608
1970,Saks & Company,6,54441
1970,Saks & Company,4,50546
1970,Saks & Company,6,53265
1970,Saks & Company,6,56160
1970,Saks & Company,6,48585
1970,Saks & Company,6,63714
1970,Saks & Company,6,247104
1970,Saks & Company,6,52065
1970,Saks & Company,6,44319
1970,Saks & Company,6,55080
1970,Saks & Company,6,49104
1970,Saks & Company,6,61320
1970,Saks & Company,6,53332
1970,Saks & Company,6,23085
1970,Saks & Company,3,24047
1970,Saks & Company,6,45384
1970,Saks & Company,6,44826
1970,Saks & Company,6,42273
1970,Saks & Company,6,17135
1970,Saks & Company,6,18392
1970,Saks & Company,6,31200
1970,Saks & Company,6,35154
1970,Sonia Rykiel,6,22780
1970,Sonia Rykiel,6,23630
1970,Sonia Rykiel,6,30105
1970,Sonia Rykiel,6,15481
1970,Sonia Rykiel,6,6160
1970,Sonia Rykiel,6,8239
1970,Sonia Rykiel,6,5829
1970,Sonia Rykiel,6,19602
1970,Sonia Rykiel,6,6052
1970,Sonia Rykiel,6,7878
1970,Sonia Rykiel,6,15429
1970,Sonia Rykiel,6,7546
1970,Sonia Rykiel,6,17094
1970,Sonia Rykiel,6,6693
1970,Tiffany & Co,0,1902470
1970,Tiffany & Co,0,1851680
1970,Valentino,6,85407
1970,Valentino,4,28416
1970,Valentino,6,50049
1970,Valentino,6,55296
1970,Valentino,6,56592
1970,Valentino,6,160428
1970,Valentino,3,124092
1970,Valentino,6,49707
1970,Van Cleef & Arpels Inc,6,2122725
1970,Vogue Co,6,56221
1970,Vogue Co,6,42064
1970,Vogue Co,6,53592
1970,Vogue Co,6,57200
1970,Yves Saint Laurent,6,21417
1970,Yves Saint Laurent,6,18404
1970,Yves Saint Laurent,6,49725
1970,Yves Saint Laurent,6,56304
1970,Yves Saint Laurent,6,62408
1971,Anne Klein & Co,6,630200
1971,Bergdorf Goodman & Co,6,31668
1971,Bergdorf Goodman & Co,6,21888
1971,Bergdorf Goodman & Co,2,12120
1971,Bergdorf Goodman & Co,3,19584
1971,Bergdorf Goodman & Co,6,38475
1971,Bergdorf Goodman & Co,6,30338
1971,Bill Blass,6,13426
1971,Blackglama,6,158991
1971,Blackglama,6,37184
1971,Bulgari,6,1284204
1971,Bulgari,6,49504
1971,Bulgari,6,43320
